DepCSharp, declare, System.Collections.Generic.List<string>
DepCSharp, declare, string
DepCSharp, create, System.Collections.Generic.List<string>
DepCSharp, access, System.IO.Directory
DepCSharp, access, System.IO.Path
DepCSharp, access, System.Collections.Generic.List<string>
DepCSharp, declare, System.Exception
DepCSharp, access, System.Console
DepCSharp, access, System.Exception
DepCSharp, declare, string[]
DepCSharp, declare, bool
DepCSharp, access, string[]
DepCSharp, declare, int
DepCSharp, declare, HashSet<Dependencies.Dependency>
DepCSharp, access, Dependencies.DepExtractor
DepCSharp, declare, var
DepCSharp, access, Dependencies.IO
Dependencies.Dependency, declare, string
Dependencies.Dependency, access, Dependencies.Dependency
Dependencies.Dependency, declare, int
Dependencies.Dependency, access, string
Dependencies.Dependency, declare, bool
Dependencies.Dependency, declare, object
Dependencies.Dependency, declare, Dependencies.Dependency
Dependencies.DepExtractor, extend, CSharpSyntaxWalker
Dependencies.DepExtractor, declare, SemanticModel
Dependencies.DepExtractor, declare, HashSet<Dependencies.Dependency>
Dependencies.DepExtractor, declare, string
Dependencies.DepExtractor, declare, Dependencies.DepExtractor
Dependencies.DepExtractor, access, Dependencies.DepExtractor
Dependencies.DepExtractor, create, Dependencies.DepExtractor
Dependencies.DepExtractor, declare, System.Collections.Generic.ICollection<string>
Dependencies.DepExtractor, access, System.Console
Dependencies.DepExtractor, declare, System.Collections.Generic.List<SyntaxTree>
Dependencies.DepExtractor, declare, Compilation
Dependencies.DepExtractor, create, HashSet<Dependencies.Dependency>
Dependencies.DepExtractor, declare, CompilationUnitSyntax
Dependencies.DepExtractor, access, SyntaxTree
Dependencies.DepExtractor, declare, SyntaxTree
Dependencies.DepExtractor, access, Compilation
Dependencies.DepExtractor, create, System.Collections.Generic.List<SyntaxTree>
Dependencies.DepExtractor, access, System.Collections.Generic.List<SyntaxTree>
Dependencies.DepExtractor, access, System.IO.File
Dependencies.DepExtractor, declare, System.Collections.Generic.ICollection<SyntaxTree>
Dependencies.DepExtractor, access, System.Reflection.Assembly
Dependencies.DepExtractor, access, System.Reflection.TypeInfo
Dependencies.DepExtractor, access, System.Type
Dependencies.DepExtractor, declare, Dependencies.Dependency
Dependencies.DepExtractor, access, HashSet<Dependencies.Dependency>
Dependencies.DepExtractor, create, Dependencies.Dependency
Dependencies.DepExtractor, declare, SyntaxList<AttributeListSyntax>
Dependencies.DepExtractor, access, var
Dependencies.DepExtractor, access, Dependencies.Dependency
Dependencies.DepExtractor, declare, ClassDeclarationSyntax
Dependencies.DepExtractor, access, SemanticModel
Dependencies.DepExtractor, access, ClassDeclarationSyntax
Dependencies.DepExtractor, access, CSharpSyntaxWalker
Dependencies.DepExtractor, declare, MethodDeclarationSyntax
Dependencies.DepExtractor, access, MethodDeclarationSyntax
Dependencies.DepExtractor, declare, FieldDeclarationSyntax
Dependencies.DepExtractor, access, FieldDeclarationSyntax
Dependencies.DepExtractor, declare, VariableDeclarationSyntax
Dependencies.DepExtractor, access, VariableDeclarationSyntax
Dependencies.DepExtractor, declare, ParameterSyntax
Dependencies.DepExtractor, access, ParameterSyntax
Dependencies.DepExtractor, declare, CatchDeclarationSyntax
Dependencies.DepExtractor, access, CatchDeclarationSyntax
Dependencies.DepExtractor, declare, ObjectCreationExpressionSyntax
Dependencies.DepExtractor, declare, MemberAccessExpressionSyntax
Dependencies.DepExtractor, access, MemberAccessExpressionSyntax
Dependencies.DepExtractor, declare, InvocationExpressionSyntax
Dependencies.DepExtractor, access, InvocationExpressionSyntax
Dependencies.DepExtractor, declare, ThrowStatementSyntax
Dependencies.DepExtractor, access, ThrowStatementSyntax
Dependencies.IO, declare, System.Collections.Generic.ICollection<Dependencies.Dependency>
Dependencies.IO, declare, string
Dependencies.IO, declare, System.IO.StreamWriter
Dependencies.IO, create, System.IO.StreamWriter
Dependencies.IO, access, System.IO.File
Dependencies.IO, access, System.IO.StreamWriter
Dependencies.IO, access, Dependencies.Dependency
Target.Test, declare, string
Target.Test, access, System.Console
Target.Test, declare, System.Exception
Target.Test, access, System.Exception
Target.TestB, declare, string
Target.TestB, declare, bool
Target.TestB, declare, Target.Test
Target.TestB, create, Target.Test
Target.TestB, access, Target.Test
